time,date,hour,precip [mm/day],Sub36 [m3/s],Sub36 (observed) [m3/s],Sub43 [m3/s],Sub43 (observed) [m3/s]
0,2002-10-01,00:00:00.00,---,5.96354,,11.2505,
1,2002-10-02,00:00:00.00,4.34194,10.6901,0.801,16.4164,3.07
2,2002-10-03,00:00:00.00,1.34882,14.2288,0.828,22.0409,2.99
3,2002-10-04,00:00:00.00,3.49763,10.5831,0.86,20.2221,3.06
4,2002-10-05,00:00:00.00,7.26494,6.93426,0.903,16.3581,2.93
5,2002-10-06,00:00:00.00,0.474409,4.96354,1.04,12.8945,3.15
6,2002-10-07,00:00:00.00,0.2,3.9874,1.03,9.8291,3.21
7,2002-10-08,00:00:00.00,1.0628,3.6984,0.837,8.16077,3.08
8,2002-10-09,00:00:00.00,0.137204,3.52672,0.641,7.38932,3.02
9,2002-10-10,00:00:00.00,0,3.37352,0.512,6.89991,2.67
10,2002-10-11,00:00:00.00,0,3.22705,0.382,6.54186,2.54
11,2002-10-12,00:00:00.00,0.168602,3.08533,0.377,6.23769,2.52
12,2002-10-13,00:00:00.00,1.27097,2.94961,0.403,5.95858,2.87
13,2002-10-14,00:00:00.00,1.49763,2.81983,0.437,5.69674,2.67
14,2002-10-15,00:00:00.00,0,2.69575,0.405,5.44826,2.56
15,2002-10-16,00:00:00.00,0,2.57713,0.399,5.20946,2.56
16,2002-10-17,00:00:00.00,0,2.46373,0.42,4.98037,2.59
17,2002-10-18,00:00:00.00,1.1686,2.35532,0.432,4.76138,2.78
18,2002-10-19,00:00:00.00,10.4757,2.2761,0.448,4.62112,2.65
19,2002-10-20,00:00:00.00,5.77204,2.34599,0.607,4.71628,3.92
20,2002-10-21,00:00:00.00,0.262796,2.45408,0.741,4.8225,3.81
21,2002-10-22,00:00:00.00,1.39656,2.44067,0.634,4.72866,3.26
22,2002-10-23,00:00:00.00,3.32559,2.43017,0.501,4.63125,3.49
23,2002-10-24,00:00:00.00,0,2.43413,0.486,4.56731,3.21
24,2002-10-25,00:00:00.00,0,2.37949,0.475,4.47498,3.07
25,2002-10-26,00:00:00.00,7.35355,2.45661,0.489,4.49348,2.95
26,2002-10-27,00:00:00.00,2.70107,2.67005,0.551,4.69553,3.37
27,2002-10-28,00:00:00.00,0.2,2.6991,0.669,4.85401,3.73
28,2002-10-29,00:00:00.00,0,2.57293,0.574,4.83206,3.78
29,2002-10-30,00:00:00.00,0,2.4544,0.53,4.69401,3.67
30,2002-10-31,00:00:00.00,0,2.34565,0.498,4.51109,3.32
31,2002-11-01,00:00:00.00,5.59312,2.24233,0.408,4.31957,3.21
32,2002-11-02,00:00:00.00,6.73376,2.14364,0.606,4.13455,3.31
33,2002-11-03,00:00:00.00,1.05118,2.04932,0.444,3.95759,3.53
34,2002-11-04,00:00:00.00,0,1.96102,0.479,3.7881,3.63
35,2002-11-05,00:00:00.00,0,2.00177,0.538,3.75209,3.5
36,2002-11-06,00:00:00.00,1.1686,2.17162,0.725,3.83416,3.37
37,2002-11-07,00:00:00.00,6.37892,2.69987,0.703,4.309,3.57
38,2002-11-08,00:00:00.00,0,3.16188,0.589,4.92994,4.01
39,2002-11-09,00:00:00.00,0,3.00355,0.89,5.1291,3.8
40,2002-11-10,00:00:00.00,0.782581,2.73531,0.858,5.0632,3.7
41,2002-11-11,00:00:00.00,38.0972,16.9826,1.52,26.3766,4.14
42,2002-11-12,00:00:00.00,0.945377,24.528,6.07,47.3969,12.6
43,2002-11-13,00:00:00.00,0,13.9021,5.17,36.0183,15.1
44,2002-11-14,00:00:00.00,0,7.962,3.56,20.3483,11
45,2002-11-15,00:00:00.00,2.32215,5.11489,2.34,13.2361,8.81
46,2002-11-16,00:00:00.00,1.74064,4.27777,1.85,9.67441,7.61
47,2002-11-17,00:00:00.00,0.356989,4.04955,1.5,8.11969,6.33
48,2002-11-18,00:00:00.00,1.31398,3.82074,1.33,7.40987,5.71
49,2002-11-19,00:00:00.00,1.01161,3.64194,1.26,6.93706,5.38
50,2002-11-20,00:00:00.00,0.662796,3.75505,1.24,6.93071,5.19
51,2002-11-21,00:00:00.00,0,3.90619,1.13,7.16121,5.12
52,2002-11-22,00:00:00.00,1.97677,3.91486,1.02,7.23141,5.07
53,2002-11-23,00:00:00.00,3.96731,4.20046,1.12,7.65352,4.94
54,2002-11-24,00:00:00.00,0.0313979,4.27011,1.16,8.09378,4.83
55,2002-11-25,00:00:00.00,1.85936,4.14363,1.09,8.14309,4.65
56,2002-11-26,00:00:00.00,2.27441,4.16768,1,8.09184,4.7
57,2002-11-27,00:00:00.00,0.411613,4.07664,1.04,7.95385,4.51
58,2002-11-28,00:00:00.00,0.913979,3.91045,0.98,7.73757,4.41
59,2002-11-29,00:00:00.00,1.81634,3.73932,0.95,7.46259,4.25
60,2002-11-30,00:00:00.00,1.57677,3.58664,0.93,7.17757,4.17
61,2002-12-01,00:00:00.00,2.54194,3.44381,0.94,6.90199,4.18
62,2002-12-02,00:00:00.00,5.27226,3.29609,0.96,6.62098,4.38
63,2002-12-03,00:00:00.00,0.0627957,3.15174,0.91,6.33962,4.19
64,2002-12-04,00:00:00.00,0.482581,3.01316,0.87,6.0647,4.05
65,2002-12-05,00:00:00.00,0.3,2.88059,0.83,5.79933,3.95
66,2002-12-06,00:00:00.00,1.80237,2.75384,0.8,5.54466,3.85
67,2002-12-07,00:00:00.00,0.294194,2.63266,0.77,5.30085,3.8
68,2002-12-08,00:00:00.00,0.0313979,2.51682,0.728,5.06766,3.74
69,2002-12-09,00:00:00.00,0.713979,2.40608,0.7,4.84469,3.68
70,2002-12-10,00:00:00.00,0,2.3002,0.67,4.63152,3.62
71,2002-12-11,00:00:00.00,0.274409,2.19899,0.65,4.42772,3.56
72,2002-12-12,00:00:00.00,0.274409,2.10454,0.635,4.23325,3.5
73,2002-12-13,00:00:00.00,0,2.12583,0.629,4.17263,3.45
74,2002-12-14,00:00:00.00,0.2,2.19788,0.639,4.21945,3.7
75,2002-12-15,00:00:00.00,0.137204,2.2448,0.673,4.31805,4.3
76,2002-12-16,00:00:00.00,1.01979,2.24874,0.734,4.42432,4.4
77,2002-12-17,00:00:00.00,0,2.16581,0.679,4.39767,4.25
78,2002-12-18,00:00:00.00,0,2.07416,0.577,4.27454,4
79,2002-12-19,00:00:00.00,1.26516,1.98375,0.561,4.11317,3.96
80,2002-12-20,00:00:00.00,10.0744,9.75881,0.656,14.1816,4.4
81,2002-12-21,00:00:00.00,5.99656,21.3953,4.75,33.6536,9.4
82,2002-12-22,00:00:00.00,1.07677,21.4782,15.8,39.1876,14
83,2002-12-23,00:00:00.00,1.13957,13.5006,7.74,29.2207,36
84,2002-12-24,00:00:00.00,0.933764,7.1668,4.25,19.1034,20
85,2002-12-25,00:00:00.00,1.58839,4.33936,3.03,12.52,9
86,2002-12-26,00:00:00.00,0.682581,3.45307,2.63,8.82472,7.3
87,2002-12-27,00:00:00.00,0,3.22435,2.37,7.27646,6.5
88,2002-12-28,00:00:00.00,0,3.07473,2.24,6.48719,5.6
89,2002-12-29,00:00:00.00,0,2.93833,1.85,6.01445,5.1
90,2002-12-30,00:00:00.00,0.168602,2.80888,1.94,5.68547,5.05
91,2002-12-31,00:00:00.00,1.31161,2.90018,1.68,5.73766,5
92,2003-01-01,00:00:00.00,0.548817,3.37096,2.48,6.2302,5.4
93,2003-01-02,00:00:00.00,0,3.74806,8.1,6.60737,6.7
94,2003-01-03,00:00:00.00,1.40817,3.60796,6.38,6.67448,11
95,2003-01-04,00:00:00.00,1.13376,3.30526,4.1,6.55211,16.2
96,2003-01-05,00:00:00.00,0.256989,3.12901,3,6.28786,10.3
97,2003-01-06,00:00:00.00,1.60237,2.9867,2.18,5.98477,8.6
98,2003-01-07,00:00:00.00,0.225591,2.85462,1.7,5.70342,7.5
99,2003-01-08,00:00:00.00,0.0627957,2.72892,1.4,5.44489,6.3
100,2003-01-09,00:00:00.00,4.84172,4.17394,1.5,7.69196,8
101,2003-01-10,00:00:00.00,1.88731,5.24763,1.59,10.3034,7.4
102,2003-01-11,00:00:00.00,3.5385,4.70531,1.2,9.71831,7
103,2003-01-12,00:00:00.00,1.91634,4.17579,1.08,8.41766,6.6
104,2003-01-13,00:00:00.00,1.70237,3.55247,1,7.59193,6.3
105,2003-01-14,00:00:00.00,2.22796,3.26159,0.9,6.93806,6.1
106,2003-01-15,00:00:00.00,2.66172,3.10252,0.85,6.41088,5.85
107,2003-01-16,00:00:00.00,1.42796,2.96405,0.79,6.02133,5.65
108,2003-01-17,00:00:00.00,0.319785,2.83334,0.745,5.71581,5.45
109,2003-01-18,00:00:00.00,0,2.70863,0.715,5.45049,5.3
110,2003-01-19,00:00:00.00,0.682581,2.58944,0.68,5.20617,5.15
111,2003-01-20,00:00:00.00,1.84774,2.4755,0.645,4.97566,5
112,2003-01-21,00:00:00.00,1.59075,2.36657,0.615,4.75627,4.9
113,2003-01-22,00:00:00.00,0.388387,2.26244,0.59,4.54684,4.8
114,2003-01-23,00:00:00.00,0.908172,2.16343,0.57,4.34681,4.7
115,2003-01-24,00:00:00.00,1.13957,2.07105,0.545,4.15616,4.6
116,2003-01-25,00:00:00.00,1.20237,1.98271,0.525,3.97492,4.5
117,2003-01-26,00:00:00.00,2.66172,1.8961,0.505,3.80207,4.42
118,2003-01-27,00:00:00.00,0,1.81281,0.49,3.63799,4.35
119,2003-01-28,00:00:00.00,0.519785,1.73308,0.475,3.48354,4.27
120,2003-01-29,00:00:00.00,1.49656,1.65683,0.465,3.3357,4.2
121,2003-01-30,00:00:00.00,0.0627957,1.58392,0.455,3.1919,4.15
122,2003-01-31,00:00:00.00,0,1.51423,0.445,3.05272,4.1
123,2003-02-01,00:00:00.00,0.474409,1.4476,0.44,2.9189,4.05
124,2003-02-02,00:00:00.00,4.44172,2.52952,0.5,4.59838,4.02
125,2003-02-03,00:00:00.00,0.0686021,2.9969,0.625,6.4684,4
126,2003-02-04,00:00:00.00,3.30839,2.06279,0.75,5.9428,4.4
127,2003-02-05,00:00:00.00,4.31527,1.72333,1.19,4.83671,6
128,2003-02-06,00:00:00.00,1.15936,1.63414,1.6,4.16164,8.3
129,2003-02-07,00:00:00.00,0.325591,1.56369,2,3.81915,8.85
130,2003-02-08,00:00:00.00,0.131398,1.49785,2.29,3.6025,9.3
131,2003-02-09,00:00:00.00,1.47097,1.43406,2.22,3.42752,8.9
132,2003-02-10,00:00:00.00,0.0686021,1.37172,2.13,3.27155,8.5
133,2003-02-11,00:00:00.00,1.30817,1.31163,1.97,3.12623,8.1
134,2003-02-12,00:00:00.00,1.20817,1.25402,1.76,2.98838,7.6
135,2003-02-13,00:00:00.00,0.619785,1.19888,1.55,2.85687,7.25
136,2003-02-14,00:00:00.00,0.0627957,1.14614,1.45,2.7312,6.95
137,2003-02-15,00:00:00.00,0,1.09571,1.3,2.61104,6.65
138,2003-02-16,00:00:00.00,0,1.0475,1.2,2.49617,6.4
139,2003-02-17,00:00:00.00,0.162796,1.00141,1.13,2.38634,6.2
140,2003-02-18,00:00:00.00,1.17677,0.957343,1.09,2.28888,5.95
141,2003-02-19,00:00:00.00,0.874409,0.915218,1,2.20169,5.8
142,2003-02-20,00:00:00.00,0.2,0.874946,1.05,2.1129,6
143,2003-02-21,00:00:00.00,0.137204,0.836447,1.11,2.02279,6.15
144,2003-02-22,00:00:00.00,0.0627957,0.799642,1.14,1.9348,6.45
145,2003-02-23,00:00:00.00,2.86968,0.764456,1.19,1.85002,6.8
146,2003-02-24,00:00:00.00,0,0.730818,1.08,1.76874,6.4
147,2003-02-25,00:00:00.00,1.6628,0.698661,1,1.69096,6.15
148,2003-02-26,00:00:00.00,0.0686021,0.667918,0.925,1.61657,5.95
149,2003-02-27,00:00:00.00,0.131398,0.639135,0.86,1.5455,5.75
150,2003-02-28,00:00:00.00,0.137204,0.612503,0.8,1.47781,5.55
151,2003-03-01,00:00:00.00,1.02323,0.586882,0.76,1.41348,5.4
152,2003-03-02,00:00:00.00,1.30237,0.56172,0.66,1.35224,5.2
153,2003-03-03,00:00:00.00,1.08602,0.537326,0.62,1.29365,5
154,2003-03-04,00:00:00.00,0.751183,0.513839,0.58,1.23741,4.85
155,2003-03-05,00:00:00.00,4.87226,0.491302,0.55,1.18342,4.7
156,2003-03-06,00:00:00.00,0.751183,0.469717,0.52,1.13163,4.55
157,2003-03-07,00:00:00.00,2.12086,0.449068,0.49,1.082,4.4
158,2003-03-08,00:00:00.00,0.3,0.429319,0.465,1.03448,4.25
159,2003-03-09,00:00:00.00,0.902366,0.410434,0.445,0.989008,4.5
160,2003-03-10,00:00:00.00,0.162796,0.392377,0.425,0.945516,4.85
161,2003-03-11,00:00:00.00,0,0.375113,0.41,0.903926,4.73
162,2003-03-12,00:00:00.00,3.12796,0.358608,0.395,0.864159,4.55
163,2003-03-13,00:00:00.00,1.07441,0.342829,0.385,0.826138,4.41
164,2003-03-14,00:00:00.00,1.50925,0.327744,0.38,0.789789,4.28
165,2003-03-15,00:00:00.00,0,0.313322,0.4,0.755782,4.21
166,2003-03-16,00:00:00.00,0.0627957,1.26006,0.5,2.04128,5.4
